Student_ID,University,Department,Semester,Gender,Age,CGPA,Java,Python,DSA,DBMS,OS,CN,Web_Development,SQL,Git,Cloud,AI_ML,Communication,Aptitude,Teamwork,Internship,Certifications,Resume_Score,Coding_Test_Score,Mock_Interview_Score,Curriculum_Coverage,Industry_Skill_Level,Skill_Gap_Score,Placement,Company,Package_LPA,Placement_Probability
S0150,University B,IT,8,Male,23,8.54,1,4,3,3,1,3,3,3,3,4,1,2,2,3,No,6,70,57,91,2.43,2.57,2.43,Yes,Infosys,9.75,0.9
S0151,University A,CSE-DS,8,Male,22,8.76,5,3,1,5,2,1,3,5,4,2,5,5,1,2,Yes,6,62,93,48,3.14,3.57,1.43,Yes,Deloitte,7.24,1.0
S0152,University C,CSE,8,Female,20,7.12,4,5,4,1,1,2,3,4,5,4,2,4,5,5,No,2,60,93,61,2.71,4.0,1.0,Yes,Infosys,14.73,1.0
S0153,University D,IT,8,Female,23,6.22,5,2,2,2,2,3,4,5,1,1,4,2,2,5,Yes,1,66,78,96,3.29,2.43,2.57,Yes,Capgemini,17.65,0.81
S0154,University C,CSE-DS,8,Female,22,6.61,4,3,5,5,4,5,1,1,5,3,5,5,5,3,No,5,56,70,49,3.57,4.29,0.71,Yes,Capgemini,8.54,0.97
S0155,University D,CSE-DS,8,Female,21,6.33,5,2,1,5,4,3,2,1,4,3,3,4,4,4,Yes,4,95,76,97,3.0,3.14,1.86,Yes,Accenture,6.35,0.92
S0156,University C,IT,8,Male,23,9.2,5,2,3,1,4,2,3,5,2,3,1,2,3,2,No,3,100,96,66,3.29,2.57,2.43,Yes,Microsoft,9.08,1.0
S0157,University B,CSE-DS,8,Male,20,5.74,5,5,5,1,4,2,5,1,4,5,3,4,1,2,Yes,1,71,66,81,3.29,4.43,0.57,Yes,Deloitte,16.89,1.0
S0158,University A,CSE,8,Male,22,7.65,2,3,1,1,4,3,2,2,5,2,4,1,2,5,No,5,77,65,72,2.14,2.57,2.43,Yes,IBM,17.98,0.77
S0159,University D,CSE-DS,8,Female,21,9.68,3,5,2,1,1,2,2,3,3,2,1,4,5,5,No,1,54,92,47,2.0,2.86,2.14,Yes,Capgemini,7.97,1.0
S0160,University A,CSE,8,Male,20,7.01,4,3,2,2,4,1,2,2,2,2,1,5,5,2,Yes,2,95,81,95,2.43,2.71,2.29,Yes,Capgemini,4.06,0.97
S0161,University A,CSE-DS,8,Male,20,5.71,1,4,4,4,1,5,3,4,2,2,1,3,4,1,No,4,88,84,53,3.14,2.43,2.57,Yes,Infosys,9.78,0.82
S0162,University D,CSE-AI,8,Male,24,7.69,5,2,3,5,2,3,4,3,2,1,5,4,2,4,No,1,50,40,87,3.57,3.14,1.86,Yes,Infosys,4.84,0.82
S0163,University A,CSE,8,Male,21,5.83,1,3,2,4,3,3,4,1,1,2,1,3,3,3,No,5,57,46,99,2.57,1.86,3.14,No,,0.0,0.68
S0164,University B,CSE,8,Female,24,6.95,4,5,3,1,3,3,2,1,4,4,4,3,4,4,No,5,60,47,53,2.43,3.86,1.14,Yes,TCS,13.94,0.89
S0165,University B,CSE-DS,8,Male,23,7.62,5,4,2,5,4,3,5,1,2,4,4,1,4,4,Yes,0,66,81,65,3.57,3.14,1.86,Yes,Amazon,3.69,0.93
S0166,University A,CSE-AI,8,Female,23,8.41,2,4,3,4,2,5,5,1,1,2,5,4,4,2,Yes,6,81,60,60,3.14,3.0,2.0,Yes,Capgemini,8.46,1.0
S0167,University C,CSE-AI,8,Female,22,9.1,1,4,4,5,4,1,4,4,3,1,4,1,1,4,No,0,85,75,45,3.29,2.57,2.43,Yes,Microsoft,15.89,0.87
S0168,University A,CSE,8,Male,23,7.1,1,2,4,3,5,5,5,4,3,4,1,1,2,1,No,2,90,91,63,3.86,2.29,2.71,Yes,Cognizant,11.72,0.84
S0169,University D,CSE-AI,8,Female,20,6.12,4,1,3,5,2,2,1,4,2,4,2,3,1,4,Yes,5,93,77,52,3.0,2.71,2.29,Yes,Deloitte,15.08,0.93
S0170,University C,IT,8,Female,22,7.83,1,5,4,5,4,5,2,5,2,2,1,4,5,5,No,4,74,66,83,3.71,2.71,2.29,Yes,Accenture,17.24,0.93
S0171,University C,CSE,8,Female,24,7.49,2,2,4,5,5,3,5,3,5,2,2,2,5,3,No,5,58,85,86,3.86,2.71,2.29,Yes,Wipro,18.13,0.87
S0172,University A,CSE-DS,8,Male,24,7.61,5,4,5,3,4,1,5,1,1,4,2,1,1,2,No,6,100,50,63,3.43,3.14,1.86,Yes,Wipro,13.75,0.97
S0173,University D,CSE-AI,8,Female,24,5.64,4,1,5,5,2,5,4,2,5,3,1,4,4,4,No,4,53,40,92,3.86,3.29,1.71,Yes,Microsoft,7.27,0.8
S0174,University A,CSE-DS,8,Female,21,7.91,5,2,2,3,4,2,1,2,2,5,1,4,1,4,No,4,66,48,55,2.71,3.0,2.0,Yes,Capgemini,12.26,0.92
S0175,University A,CSE-DS,8,Male,21,5.68,3,5,1,5,3,4,5,5,3,1,3,5,2,2,Yes,6,82,50,71,3.71,3.0,2.0,Yes,IBM,11.65,0.85
S0176,University D,CSE-DS,8,Female,20,8.42,3,3,3,2,5,5,4,5,1,1,3,4,2,5,Yes,0,93,96,65,3.86,2.57,2.43,Yes,Infosys,9.22,1.0
S0177,University D,CSE,8,Male,24,9.51,3,5,5,4,4,1,3,2,3,5,1,1,2,5,Yes,5,54,53,87,3.14,3.29,1.71,Yes,Accenture,12.94,1.0
S0178,University C,CSE,8,Female,20,9.15,4,1,2,1,4,3,1,1,1,1,2,3,5,1,Yes,2,76,64,73,2.29,2.0,3.0,Yes,IBM,12.95,0.94
S0179,University B,IT,8,Female,21,7.85,5,1,5,1,1,3,5,1,3,3,5,1,3,4,No,3,92,41,75,3.0,3.29,1.71,Yes,Accenture,5.84,0.87
S0180,University B,CSE-AI,8,Male,21,6.81,3,1,5,5,2,1,1,1,5,5,4,5,5,1,No,1,97,87,91,2.57,4.0,1.0,Yes,IBM,8.66,0.98
S0181,University A,CSE-DS,8,Male,21,8.21,3,2,1,2,5,1,5,4,5,1,3,1,3,1,Yes,5,87,71,66,3.0,2.29,2.71,Yes,Accenture,8.86,0.87
S0182,University C,CSE-AI,8,Female,23,6.9,4,3,5,3,5,2,5,5,3,3,4,2,1,3,Yes,6,64,85,92,4.14,3.43,1.57,Yes,Capgemini,13.11,1.0
S0183,University D,CSE-AI,8,Male,24,7.54,3,3,4,5,1,2,5,1,3,2,5,2,3,1,Yes,0,82,80,46,3.0,3.14,1.86,Yes,Microsoft,15.69,0.92
S0184,University B,CSE-AI,8,Female,21,6.65,5,4,2,3,4,2,5,3,2,4,5,5,1,4,No,4,50,82,60,3.43,3.86,1.14,Yes,Microsoft,16.22,0.95
S0185,University C,CSE,8,Female,22,6.29,5,2,4,3,1,2,4,2,1,3,3,2,1,2,No,3,80,98,74,3.0,2.86,2.14,Yes,TCS,16.72,0.9
S0186,University D,CSE-AI,8,Male,20,8.05,5,2,4,4,3,5,1,5,3,4,2,5,4,3,No,3,100,70,83,3.86,3.57,1.43,Yes,Wipro,3.6,1.0
S0187,University B,CSE,8,Male,24,7.76,3,2,2,2,2,3,5,1,2,4,3,1,4,4,No,1,87,50,86,2.57,2.43,2.57,Yes,TCS,16.0,0.78
S0188,University B,CSE-AI,8,Female,24,8.11,2,5,1,5,2,1,2,3,2,5,4,5,5,1,No,0,63,68,83,2.29,3.43,1.57,Yes,Deloitte,18.39,0.91
S0189,University D,CSE-AI,8,Male,21,6.13,5,2,5,5,3,2,3,4,5,5,1,2,4,4,Yes,0,51,52,78,3.86,3.57,1.43,Yes,Amazon,16.39,0.88
S0190,University D,CSE-DS,8,Male,23,7.59,5,5,1,5,5,1,1,4,2,5,5,1,4,5,No,2,52,84,78,3.14,3.43,1.57,Yes,Deloitte,9.93,0.89
S0191,University C,CSE,8,Male,23,6.09,4,2,1,3,5,5,4,3,2,1,1,5,5,1,Yes,3,91,53,89,3.57,2.29,2.71,Yes,IBM,15.56,0.83
S0192,University C,IT,8,Male,20,8.37,3,3,5,4,5,3,5,3,4,2,4,5,5,4,Yes,2,85,75,75,4.0,3.71,1.29,Yes,Capgemini,7.31,1.0
S0193,University C,CSE,8,Male,23,8.79,4,2,1,2,5,4,3,5,5,1,2,4,1,1,Yes,3,88,67,50,3.43,2.71,2.29,Yes,Accenture,4.46,0.96
S0194,University B,CSE,8,Female,21,9.6,4,5,5,3,5,1,2,4,4,1,2,5,3,2,Yes,6,88,72,78,3.43,3.71,1.29,Yes,Microsoft,13.98,1.0
S0195,University B,CSE-AI,8,Female,23,8.38,2,1,3,4,3,4,4,5,2,5,1,1,1,5,No,5,85,98,82,3.57,2.14,2.86,Yes,Capgemini,8.72,0.93
S0196,University C,IT,8,Female,24,8.03,3,2,4,5,1,5,1,5,3,3,1,5,3,5,No,5,78,64,81,3.43,3.0,2.0,Yes,Accenture,10.75,0.98
S0197,University A,CSE-AI,8,Female,22,9.29,4,1,3,1,4,2,2,3,4,3,5,5,1,3,Yes,2,55,65,88,2.71,3.57,1.43,Yes,Cognizant,14.73,1.0
S0198,University A,CSE,8,Female,22,7.06,5,3,2,2,4,2,2,2,3,2,2,2,2,5,No,1,99,46,52,2.71,2.71,2.29,Yes,Deloitte,17.3,0.79
S0199,University D,CSE,8,Female,22,8.23,4,5,3,4,2,5,3,4,2,5,2,1,5,4,No,4,52,72,67,3.57,3.14,1.86,Yes,Wipro,9.41,0.95
S0200,University D,CSE-DS,8,Female,23,8.53,1,2,4,5,1,3,3,5,3,2,5,3,2,3,No,4,71,63,56,3.14,2.86,2.14,Yes,Accenture,10.98,0.89
S0201,University C,IT,8,Female,22,6.73,2,5,2,5,2,1,3,2,5,4,4,2,2,2,No,6,50,51,71,2.43,3.43,1.57,Yes,Amazon,10.99,0.8
S0202,University D,CSE,8,Female,24,7.97,5,1,4,1,2,1,2,3,4,1,4,3,3,3,No,4,85,99,96,2.57,3.14,1.86,Yes,TCS,7.37,0.98
S0203,University D,CSE,8,Male,21,6.38,5,5,2,3,3,3,5,4,4,1,4,5,3,4,Yes,6,60,80,96,3.57,3.71,1.29,Yes,IBM,17.43,0.99
S0204,University A,CSE-AI,8,Male,23,7.01,3,3,3,3,5,4,3,4,3,5,5,4,4,2,Yes,6,51,48,91,3.57,3.71,1.29,Yes,Capgemini,7.02,0.95
S0205,University B,CSE-AI,8,Male,20,5.95,1,4,5,1,1,4,5,1,1,3,5,2,1,4,No,1,65,87,63,2.57,3.0,2.0,Yes,Wipro,10.15,0.81
S0206,University D,CSE-AI,8,Male,23,8.42,3,4,4,5,3,5,4,2,5,2,5,5,4,5,No,4,90,80,79,3.71,4.0,1.0,Yes,Cognizant,8.14,1.0
S0207,University B,CSE,8,Female,21,6.85,4,3,2,3,1,1,5,2,3,3,4,5,1,4,No,2,50,89,72,2.57,3.43,1.57,Yes,Microsoft,15.47,0.9
S0208,University B,CSE,8,Male,21,7.31,5,4,4,2,2,4,4,2,3,1,4,2,5,5,No,2,91,87,79,3.29,3.29,1.71,Yes,IBM,15.63,0.93
S0209,University B,CSE,8,Male,20,6.77,4,5,4,3,5,4,2,3,1,2,1,5,1,2,Yes,2,67,48,90,3.57,3.14,1.86,Yes,TCS,10.08,0.96
S0210,University A,CSE,8,Male,23,7.67,3,4,3,4,3,4,1,3,1,2,1,3,4,1,No,1,62,97,98,3.0,2.43,2.57,Yes,IBM,7.25,0.91
S0211,University B,CSE,8,Male,23,8.89,4,2,1,2,4,1,5,2,4,4,3,3,2,1,Yes,2,80,80,64,2.71,3.0,2.0,Yes,TCS,6.48,0.99
S0212,University A,CSE-DS,8,Male,24,6.93,2,3,5,1,4,2,1,1,5,4,5,2,3,1,Yes,1,81,45,88,2.29,3.71,1.29,Yes,TCS,12.78,0.88
S0213,University B,CSE-AI,8,Female,22,8.98,2,4,2,3,5,3,4,2,1,4,3,2,3,1,No,5,78,75,63,3.0,2.57,2.43,Yes,Deloitte,11.64,0.95
S0214,University B,CSE-DS,8,Male,24,8.72,3,5,5,2,1,5,2,4,3,3,5,3,4,1,No,5,61,96,46,3.14,3.86,1.14,Yes,Cognizant,12.8,1.0
S0215,University D,CSE-AI,8,Male,20,9.1,2,5,4,5,2,5,3,3,4,3,1,1,5,1,Yes,6,58,51,100,3.43,2.86,2.14,Yes,Infosys,3.97,0.99
S0216,University C,CSE,8,Female,24,8.01,4,4,5,5,5,3,1,3,2,5,1,1,2,4,Yes,3,90,43,68,3.71,3.14,1.86,Yes,IBM,11.87,1.0
S0217,University C,IT,8,Female,20,5.68,1,3,1,2,5,1,1,2,5,4,2,2,5,2,Yes,4,97,75,71,1.86,2.57,2.43,Yes,Microsoft,14.69,0.79
S0218,University B,CSE-AI,8,Female,24,6.23,2,5,4,5,3,2,5,5,4,3,3,5,3,3,No,6,90,67,97,3.71,3.71,1.29,Yes,Microsoft,14.39,0.94
S0219,University B,CSE,8,Male,23,9.58,3,3,4,4,4,1,1,3,5,1,5,2,3,1,No,1,63,94,65,2.86,3.29,1.71,Yes,Capgemini,3.83,0.97
S0220,University A,CSE-DS,8,Male,24,7.06,2,3,3,5,2,2,3,3,1,5,4,5,2,1,No,6,80,51,76,2.86,3.29,1.71,Yes,Microsoft,15.89,0.92
S0221,University B,CSE,8,Female,23,7.18,1,3,3,4,4,1,2,5,1,4,1,3,5,1,No,4,86,49,65,2.86,2.29,2.71,Yes,Accenture,11.04,0.82
S0222,University B,IT,8,Male,23,8.81,5,5,1,2,4,3,4,2,2,3,1,4,5,1,No,2,55,65,77,3.0,3.0,2.0,Yes,Wipro,10.02,0.96
S0223,University A,CSE-DS,8,Male,22,7.24,5,2,5,5,5,2,2,1,3,4,3,5,1,1,No,3,73,62,57,3.57,3.86,1.14,Yes,Microsoft,8.31,1.0
S0224,University C,IT,8,Female,20,8.21,4,5,2,4,1,2,2,3,2,1,1,1,2,5,Yes,6,68,40,66,2.57,2.29,2.71,Yes,Infosys,13.91,0.9
S0225,University C,CSE,8,Female,20,6.96,5,2,2,5,5,3,5,4,5,2,1,4,5,5,Yes,2,60,43,63,4.14,3.0,2.0,Yes,Microsoft,6.51,0.86
S0226,University A,CSE-AI,8,Female,22,5.79,3,3,1,1,3,4,2,4,5,1,3,4,5,5,Yes,1,62,72,74,2.57,2.86,2.14,Yes,TCS,11.91,0.78
S0227,University D,CSE-AI,8,Female,21,7.66,2,1,3,3,3,3,2,5,3,1,3,4,1,5,No,1,59,61,70,3.0,2.43,2.57,Yes,Infosys,13.35,0.79
S0228,University C,CSE,8,Male,21,8.02,4,3,5,3,4,5,2,2,2,5,5,2,2,3,Yes,3,99,49,86,3.57,3.71,1.29,Yes,Wipro,17.5,1.0
S0229,University A,CSE-DS,8,Male,23,6.9,2,1,3,4,4,3,4,3,2,2,1,2,2,1,No,4,86,79,59,3.29,1.86,3.14,Yes,Accenture,12.45,0.8
S0230,University A,CSE-AI,8,Female,24,6.09,5,4,3,2,4,4,4,2,2,2,2,1,4,1,No,3,64,87,87,3.43,2.71,2.29,Yes,Accenture,18.32,0.82
S0231,University B,IT,8,Male,24,7.66,3,4,2,4,4,1,5,4,3,4,5,5,5,5,Yes,4,56,68,74,3.29,3.71,1.29,Yes,TCS,15.91,1.0
S0232,University B,CSE-AI,8,Female,23,7.2,1,2,3,4,4,3,3,4,2,4,3,5,1,5,Yes,3,91,68,50,3.14,2.86,2.14,Yes,Infosys,14.34,0.95
S0233,University B,IT,8,Female,20,6.92,1,2,4,5,2,4,1,3,3,2,1,1,1,4,No,0,83,85,69,2.86,2.0,3.0,Yes,Amazon,14.4,0.76
S0234,University D,IT,8,Male,24,8.88,3,5,2,2,2,2,1,4,3,3,4,3,2,1,Yes,1,50,79,93,2.29,3.29,1.71,Yes,Deloitte,7.3,0.99
S0235,University B,CSE,8,Female,22,9.38,2,2,5,4,4,4,4,1,5,5,1,2,5,3,Yes,0,61,49,48,3.43,3.14,1.86,Yes,TCS,13.3,0.98
S0236,University A,IT,8,Male,22,9.55,1,1,4,2,2,3,5,5,5,5,2,4,5,3,Yes,0,99,59,65,3.14,3.14,1.86,Yes,IBM,9.03,1.0
S0237,University D,CSE-DS,8,Female,24,7.57,1,3,3,5,4,5,2,2,5,1,1,5,5,1,No,5,94,78,95,3.14,2.71,2.29,Yes,Capgemini,18.29,0.92
S0238,University D,IT,8,Male,22,8.03,5,3,2,5,5,4,5,4,4,2,5,2,3,2,Yes,0,51,69,85,4.29,3.29,1.71,Yes,Accenture,15.45,0.9
S0239,University B,CSE-DS,8,Female,23,7.04,2,1,2,3,3,1,3,3,5,5,3,1,1,3,No,3,96,76,84,2.43,2.71,2.29,Yes,Wipro,17.9,0.79
S0240,University A,CSE-AI,8,Female,20,9.53,1,2,4,2,4,5,3,4,4,1,5,3,5,3,Yes,1,86,83,66,3.29,2.86,2.14,Yes,Cognizant,15.49,1.0
S0241,University B,CSE-DS,8,Male,20,6.99,4,5,2,5,5,4,2,5,1,3,3,1,3,4,Yes,3,65,63,73,3.86,2.71,2.29,Yes,Capgemini,15.94,0.87
S0242,University B,CSE-AI,8,Male,23,7.15,1,2,1,4,5,1,4,5,2,2,3,4,5,3,No,1,99,95,51,3.0,2.14,2.86,Yes,Amazon,15.83,0.81
S0243,University C,IT,8,Male,22,7.21,5,1,1,3,1,5,1,3,4,1,1,5,3,1,No,5,63,60,57,2.71,2.57,2.43,Yes,Capgemini,6.39,0.84
S0244,University C,CSE-DS,8,Female,20,6.16,3,1,1,5,5,5,1,2,5,3,5,3,3,2,No,4,65,50,49,3.14,3.0,2.0,No,,0.0,0.7
S0245,University A,IT,8,Male,20,6.07,4,1,1,4,1,1,4,4,2,5,5,4,5,3,No,2,62,85,93,2.71,3.14,1.86,Yes,Amazon,13.56,0.81
S0246,University A,CSE-DS,8,Female,23,9.08,4,1,4,3,4,4,2,2,2,5,3,3,4,2,No,6,70,69,76,3.29,3.14,1.86,Yes,Deloitte,3.95,1.0
S0247,University B,IT,8,Female,20,9.22,3,3,5,5,2,5,1,4,1,3,5,1,3,5,No,3,87,66,60,3.57,3.0,2.0,Yes,Amazon,12.81,0.97
S0248,University D,CSE,8,Male,24,7.0,5,4,4,5,3,5,2,2,1,5,4,1,5,5,No,2,85,46,97,3.71,3.43,1.57,Yes,Capgemini,10.18,0.87
S0249,University C,CSE-DS,8,Female,22,8.89,4,3,4,1,1,2,2,5,1,2,2,4,5,3,No,4,86,68,57,2.71,2.86,2.14,Yes,Cognizant,6.58,1.0
S0250,University D,CSE-DS,8,Female,23,9.86,5,1,5,5,4,2,3,1,3,5,1,1,5,3,Yes,6,68,95,46,3.57,3.0,2.0,Yes,Microsoft,7.03,1.0
S0251,University D,CSE-AI,8,Male,21,7.18,5,2,2,4,2,2,5,4,3,4,2,3,2,2,Yes,0,91,41,54,3.43,3.0,2.0,Yes,Deloitte,14.32,0.87
S0252,University C,IT,8,Female,20,8.33,4,4,5,4,5,2,4,5,4,5,4,4,3,2,Yes,3,88,40,81,4.14,4.29,0.71,Yes,Accenture,10.97,1.0
S0253,University C,CSE,8,Female,24,9.8,5,4,3,1,5,4,1,2,5,3,4,5,1,5,Yes,1,80,80,92,3.0,4.14,0.86,Yes,Infosys,13.46,1.0
S0254,University C,CSE,8,Female,23,8.93,4,4,5,4,5,3,4,3,3,3,2,1,5,3,No,0,90,70,82,4.0,3.14,1.86,Yes,TCS,6.04,0.97
S0255,University D,CSE-AI,8,Male,22,5.86,5,1,3,3,2,5,3,3,3,1,1,5,2,5,Yes,5,78,63,96,3.43,2.71,2.29,Yes,Accenture,6.13,0.9
S0256,University B,IT,8,Female,23,9.83,2,5,2,4,4,4,2,4,2,2,5,3,1,3,Yes,0,60,69,70,3.14,3.0,2.0,Yes,Deloitte,10.64,0.99
S0257,University D,IT,8,Male,24,6.66,5,4,1,3,4,4,3,5,1,1,5,3,4,5,No,2,67,57,96,3.57,2.86,2.14,Yes,Microsoft,4.97,0.78
S0258,University A,CSE,8,Male,24,8.89,5,3,2,3,5,1,1,1,1,4,1,5,1,4,No,1,96,58,61,2.57,3.0,2.0,Yes,TCS,6.4,1.0
S0259,University C,CSE-AI,8,Male,22,8.31,1,1,5,2,4,5,2,1,2,3,3,4,1,4,No,6,77,84,87,2.86,2.71,2.29,Yes,Cognizant,15.05,0.99
S0260,University A,IT,8,Female,20,8.92,4,4,3,1,3,3,2,4,1,4,2,5,4,2,No,0,59,74,94,2.86,3.29,1.71,Yes,Microsoft,9.97,1.0
S0261,University D,CSE,8,Male,20,5.65,1,5,3,4,1,4,2,1,1,4,3,2,3,4,Yes,4,95,100,94,2.29,2.71,2.29,Yes,IBM,10.86,0.91
S0262,University A,IT,8,Male,22,7.19,4,1,5,5,3,3,3,4,1,1,3,5,3,1,No,6,99,58,86,3.86,2.86,2.14,Yes,Amazon,6.55,0.96
S0263,University A,CSE,8,Female,20,8.56,1,3,4,1,4,2,2,1,2,1,5,2,4,4,Yes,6,84,81,64,2.14,2.57,2.43,Yes,Deloitte,11.0,0.98
S0264,University A,CSE-AI,8,Male,22,6.99,1,4,1,2,5,4,5,2,5,2,1,1,2,4,Yes,3,89,42,60,2.86,2.14,2.86,Yes,Wipro,14.02,0.74
S0265,University B,CSE-DS,8,Male,20,9.11,1,4,5,2,5,1,1,1,4,5,5,2,1,2,No,2,97,83,70,2.29,3.71,1.29,Yes,Microsoft,8.36,1.0
S0266,University A,IT,8,Male,20,8.11,3,1,1,3,2,4,2,3,5,2,4,2,5,1,Yes,0,100,94,85,2.57,2.57,2.43,Yes,Wipro,12.69,0.89
S0267,University C,CSE-DS,8,Female,20,5.53,1,5,3,4,4,2,2,2,3,5,4,4,2,2,Yes,4,61,85,76,2.57,3.57,1.43,Yes,Infosys,12.68,0.92
S0268,University D,CSE-AI,8,Male,20,7.95,2,1,5,1,5,3,5,5,2,4,2,3,1,2,Yes,6,59,83,99,3.71,2.71,2.29,Yes,Deloitte,18.03,1.0
S0269,University C,IT,8,Male,22,5.74,3,3,2,4,3,3,5,4,1,1,1,5,2,2,Yes,3,82,47,49,3.43,2.29,2.71,Yes,Deloitte,16.93,0.82
S0270,University C,CSE-AI,8,Female,21,6.51,1,3,2,1,2,4,2,4,2,1,4,5,4,1,No,1,63,99,84,2.29,2.57,2.43,Yes,IBM,10.32,0.81
S0271,University B,CSE-AI,8,Male,23,8.28,3,2,3,2,1,5,1,3,2,1,4,4,4,2,No,1,68,78,55,2.57,2.71,2.29,Yes,Microsoft,15.34,0.89
S0272,University A,IT,8,Female,23,9.27,4,2,5,4,4,3,1,4,2,2,3,4,5,2,Yes,4,50,66,47,3.57,3.14,1.86,Yes,Deloitte,4.1,1.0
S0273,University A,IT,8,Female,21,9.06,1,4,4,2,1,5,1,4,2,2,3,3,2,1,Yes,3,92,59,55,2.57,2.71,2.29,Yes,Microsoft,14.05,1.0
S0274,University C,CSE,8,Male,23,9.35,4,2,3,4,1,1,4,3,5,1,3,4,3,5,Yes,6,93,45,84,2.86,3.14,1.86,Yes,TCS,16.71,1.0
S0275,University B,CSE-DS,8,Female,22,7.11,5,1,3,3,2,5,1,5,2,2,3,2,5,1,No,5,98,77,100,3.43,2.57,2.43,Yes,Accenture,17.89,0.88
S0276,University B,IT,8,Male,20,7.72,4,3,1,1,3,3,4,4,5,5,1,4,5,5,No,3,89,63,96,2.86,3.29,1.71,Yes,Infosys,13.6,0.92
S0277,University D,CSE,8,Female,21,7.22,2,3,1,1,2,3,1,2,4,2,2,5,1,3,No,5,84,99,53,1.71,2.71,2.29,Yes,IBM,10.61,0.91
S0278,University C,CSE-DS,8,Male,21,5.78,2,5,3,4,5,3,3,4,5,5,5,4,4,3,Yes,6,69,50,95,3.43,4.14,0.86,Yes,Deloitte,7.4,0.91
S0279,University C,CSE-DS,8,Male,22,7.05,4,2,5,2,5,3,2,2,2,2,2,1,1,3,Yes,3,66,63,56,3.29,2.57,2.43,Yes,TCS,6.58,0.89
S0280,University B,IT,8,Female,20,7.47,2,5,3,1,1,4,4,2,4,3,2,1,5,5,No,5,95,58,75,2.43,2.86,2.14,Yes,Microsoft,16.94,0.86
S0281,University B,CSE,8,Male,24,8.72,1,2,5,1,3,1,4,5,2,4,3,1,3,1,Yes,4,83,54,95,2.86,2.57,2.43,Yes,Capgemini,17.53,0.95
S0282,University D,CSE,8,Male,23,9.24,1,5,4,2,4,3,5,5,5,1,3,4,2,4,No,3,73,40,63,3.43,3.29,1.71,Yes,Capgemini,8.67,0.93
S0283,University C,IT,8,Male,24,8.76,4,4,3,2,4,4,2,5,5,1,2,2,3,4,No,0,87,88,69,3.43,3.0,2.0,Yes,IBM,4.83,0.94
S0284,University D,CSE,8,Female,23,7.53,5,2,2,2,4,3,5,4,1,3,5,3,4,5,No,1,51,90,45,3.57,3.0,2.0,Yes,Capgemini,5.81,0.88
S0285,University B,CSE,8,Male,22,6.29,2,1,1,3,4,1,5,3,5,4,5,4,3,4,Yes,2,82,86,81,2.71,3.14,1.86,Yes,Capgemini,3.76,0.85
S0286,University C,CSE-DS,8,Female,22,7.53,2,3,2,1,3,3,4,3,1,3,3,5,1,5,Yes,6,90,51,93,2.57,2.71,2.29,Yes,Wipro,4.92,0.96
S0287,University A,IT,8,Female,20,8.52,3,1,5,5,3,2,1,2,5,3,3,4,4,3,Yes,0,63,49,77,3.0,3.43,1.57,Yes,Accenture,6.82,0.96
S0288,University C,CSE-AI,8,Male,21,6.01,2,1,4,3,3,3,2,4,5,5,3,2,3,1,Yes,1,58,94,89,3.0,3.14,1.86,Yes,Accenture,5.64,0.86
S0289,University A,CSE-AI,8,Male,21,9.82,4,1,1,1,4,4,1,2,1,1,5,5,1,4,Yes,2,52,44,64,2.43,2.57,2.43,Yes,Infosys,13.51,0.95
S0290,University C,CSE-AI,8,Male,20,8.45,1,1,2,3,5,3,3,2,5,5,2,5,5,1,Yes,6,87,88,45,2.71,3.0,2.0,Yes,Accenture,11.43,1.0
S0291,University B,IT,8,Female,22,9.57,5,4,3,5,2,4,1,2,3,4,4,2,5,2,No,0,98,60,52,3.14,3.57,1.43,Yes,Amazon,10.49,1.0
S0292,University C,CSE-AI,8,Male,23,7.95,1,1,3,4,1,4,3,4,5,3,4,2,5,4,No,6,77,52,99,2.86,2.71,2.29,Yes,Deloitte,4.54,0.81
S0293,University D,CSE-DS,8,Female,23,8.46,4,4,5,1,1,2,4,4,5,1,2,1,3,2,No,1,88,94,70,3.0,3.14,1.86,Yes,IBM,5.34,0.97
S0294,University B,IT,8,Female,21,7.07,5,4,4,5,3,2,4,1,1,3,4,4,2,2,Yes,0,97,43,98,3.43,3.57,1.43,Yes,TCS,4.52,0.97
S0295,University D,IT,8,Female,20,6.83,5,1,1,5,4,4,2,3,4,4,5,3,5,3,Yes,6,52,67,52,3.43,3.29,1.71,Yes,Cognizant,9.25,0.89
S0296,University C,IT,8,Female,24,5.64,5,3,2,4,4,2,3,4,4,1,5,4,5,5,No,3,85,94,55,3.43,3.43,1.57,Yes,IBM,11.1,0.85
S0297,University B,CSE-AI,8,Female,24,8.48,3,3,1,1,5,1,2,3,3,5,1,3,4,1,No,2,72,66,67,2.29,2.71,2.29,Yes,Accenture,4.35,0.89
S0298,University D,IT,8,Female,24,5.87,1,3,1,3,2,1,5,3,1,4,4,5,5,4,No,0,94,70,82,2.29,2.71,2.29,Yes,Cognizant,3.83,0.76
S0299,University D,CSE-AI,8,Male,24,5.93,4,1,2,3,4,5,3,2,5,3,3,4,2,4,Yes,6,84,53,63,3.29,3.14,1.86,Yes,Capgemini,7.48,0.86
S0300,University B,CSE,8,Male,24,5.92,3,3,1,5,5,4,4,2,3,1,3,5,3,4,No,1,76,65,61,3.43,2.71,2.29,Yes,Deloitte,12.87,0.75
